maxIter, NumGen, temp, estable, %Aciertos, Tiempo
150, 2, 100, 100, 87.9518, 0.925362
150, 4, 100, 100, 91.5663, 3.81631
150, 8, 100, 100, 95.1807, 28.8836
150, 16, 100, 100, 97.5904, 265.156
250, 2, 100, 100, 90.3614, 1.47956
250, 4, 100, 100, 92.7711, 5.7066
250, 8, 100, 100, 95.1807, 43.3814
250, 16, 100, 100, 96.988, 439.596
350, 2, 100, 100, 89.759, 2.08988
350, 5, 100, 100, 92.1687, 8.11332
350, 8, 100, 100, 93.9759, 64.7297
350, 16, 100, 100, 95.7831, 646.528
500, 2, 100, 100, 90.9639, 2.96337
500, 4, 100, 100, 94.5783, 11.696
500, 8, 100, 100, 95.7831, 86.6341
150, 2, 50, 100, 88.5542, 0.883367
150, 4, 50, 100, 91.5663, 3.46104
150, 8, 50, 100, 95.1807, 23.866
250, 2, 50, 100, 90.9639, 1.48774
250, 4, 50, 100, 94.5783, 5.45391
250, 8, 50, 100, 94.5783, 34.4061
350, 2, 50, 100, 92.1687, 1.9737
350, 5, 50, 100, 94.5783, 7.49999
350, 8, 50, 100, 95.1807, 48.6543
500, 2, 50, 100, 90.3614, 2.88556
500, 4, 50, 100, 93.3735, 10.7061
500, 8, 50, 100, 95.1807, 65.1663
150, 2, 50, 50, 88.5542, 0.89294
150, 4, 50, 50, 91.5663, 3.43418
150, 8, 50, 50, 95.1807, 22.7999
250, 2, 50, 50, 90.9639, 1.48147
250, 4, 50, 50, 94.5783, 5.4483
250, 8, 50, 50, 94.5783, 33.6006
350, 2, 50, 50, 92.1687, 1.9824
350, 4, 50, 50, 94.5783, 7.50827
350, 8, 50, 50, 93.9759, 45.7193
500, 2, 50, 50, 90.3614, 2.89191
500, 4, 50, 50, 93.3735, 10.7094
500, 8, 50, 50, 95.7831, 65.4803
